"type","title","conference","city","country","month","date","date of talk","invited","pages of abstract","year","speaker","num_author",,,,
"0","小行列式最大次数列に対する組合せ緩和法の効率化","日本オペレーションズ・リサーチ学会2014年秋季研究発表会","北海道","JP","August","28-29","28","0","48–49","2014","佐藤 峻","2",佐藤 峻,室田 一雄,,
"0","散逸系に対する線形多段離散勾配スキームの漸近挙動解析","日本応用数理学会2014年度年会","東京","JP","September","3-5","3","0","0","2014","佐藤 峻","3",佐藤 峻,松尾 宇泰,降籏 大介,
"0","混合多項式行列における小行列式最大次数列に対する組合せ緩和法","日本応用数理学会2014年度年会","東京","JP","September","3-5","5","0","0","2014","佐藤 峻","2",佐藤 峻,室田 一雄,,
"0","散逸系に対する可変刻み構造保存解法の漸近挙動解析","日本応用数理学会2015年研究部会連合発表会","東京","JP","March","6-7","6","0","0","2015","佐藤 峻","4",佐藤 峻,松尾 宇泰,鈴木 秀幸,降籏 大介
"0","周期境界条件下におけるshort-pulse方程式のホドグラフ変換を用いた動的格子差分法","第44回数値解析シンポジウム","山梨","JP","June","8-10","8","0","13–16","2015","佐藤 峻","4",佐藤 峻,小熊 和仁,松尾 宇泰,Bao-Feng Feng
"1","A moving grid method via a hodograph transformation for the short-pulse equation under the periodic boundary condition (poster)","ICIAM 2015","Beijing","China","August","10-14","11","0","0","2015","S. Sato","1","K. Oguma, T. Matsuo, B.-F. Feng",,,
"0","An analysis on asymptotic behavior of dissipative numerical integrators with adaptive time-stepping","SciCADE 2015","Potsdam","Germany","September","14-18","16","0","0","2015","S. Sato","4",S. Sato,T. Matsuo,H. Suzuki,D. Furihata
"0","A norm-preserving self-adaptive moving mesh integrator for the short-pulse equation","RIMS研究集会「現象解明に向けた数値解析学の新展開」","京都","JP","November","18-20","19","0","19-21","2015","佐藤 峻","3",佐藤 峻,松尾 宇泰,Bao-Feng Feng,
"0","光錐座標上の非線形Klein—Gordon方程式の数値計算法について","日本応用数理学会2016年研究部会連合発表会","兵庫","JP","March","4-5","4","0","0","2016","佐藤 峻","2",佐藤 峻,松尾 宇泰,,
"0","Lyapunov関数からの差分スキーム直接構成","応用解析研究会〜可積分系から計算数学まで〜","大阪","JP","May","19-21","20","0","10","2016","松尾 宇泰","2",松尾 宇泰,佐藤 峻,,
"0","平均化作用素を用いた新たな離散変分法の離散保存則","第45回数値解析シンポジウム","鹿児島","JP","June","8-10","8","0","13-16","2016","佐藤 峻","3",降籏 大介,佐藤 峻,松尾 宇泰,
"0","A Lyapunov-type theorem for dissipative numerical integrators with adaptive time-stepping","SIAM: East Asian Section Conference 2016","Macau","China","June","20-22","20","1","0","2016","S. Sato","4",S. Sato,T. Matsuo,H. Suzuki,D. Furihata
"0","A stabilized self-adaptive moving mesh integrator for the short-pulse equation","The Fourth International Conference: Nonlinear Waves – Theory and Applications","Beijing","China","June","25-28","27","0","0","2016","S. Sato","3",S. Sato,T. Matsuo,B.-F. Feng,
"0","双向グラフの強連結化","日本オペレーションズ・リサーチ学会2016年秋季研究発表会","山形","JP","September","15-16","15","0","0","2016","松岡 達也","2",松岡 達也,佐藤 峻,,
"0","混合微分をもつ1次元発展偏微分方程式の数値解法について","応用数学フレッシュマンセミナー2016","京都","JP","October","22","22","0","0","2016","佐藤 峻","1",佐藤 峻,,,
"0","双向グラフの強連結化に関する研究","日本オペレーションズ・リサーチ学会「最適化の基盤とフロンティア」研究部会 (WOO) -未来を担う若手研究者の集い2017-","茨城","JP","May","13-14","14","0","0","2017","松岡 達也","2",松岡 達也,佐藤 峻,,
"0","Making bidirected graphs strongly connected","The 10th Japanese-Hungarian Symposium on Discrete Mathematics and Its Applications","Budapest","Hungary","May","22-25","25","0","0","2017","T. Matsuoka","2",T. Matsuoka,S. Sato,,
"0","混合微分を含む発展方程式の空間離散化について","日本応用数理学会2017年度年会","東京","JP","September","6-8","8","0","347-348","2017","佐藤 峻","2",佐藤 峻,松尾 宇泰,,
"0","On spatial discretization of evolutionary differential equations on the periodic domain with a mixed derivative","SciCADE 2017","Bath","UK","September","11-15","12","0","0","2017","S. Sato","2",S. Sato,T. Matsuo,,
"0","平均化作用素を用いた差分法について","応用数学フレッシュマンセミナー2017","京都","JP","November","11","11","0","0","2017","佐藤 峻","1",佐藤 峻,,,
"0","微分代数方程式に対する離散勾配法について","2017年度応用数学合同研究集会","滋賀","JP","December","14-16","14","0","0","2017","佐藤 峻","1",佐藤 峻,,,
"0","modified Hunter--Saxton方程式に対する保存的数値解法と爆発現象の数値的観察","北陸応用数理研究集会","石川","JP","February","19-20","19","0","0","2018","佐藤 峻","1",佐藤 峻,,,
"1","Numerical and theoretical treatment of evolutionary differential equations with a mixed derivative","Workshop on recent progress in modern numerical analysis","Tokyo","Japan","March","12","12","0","0","2018","S. Sato","1",T. Matsuo,,,
"0","modified Hunter--Saxton方程式に対する差分法の安定性と収束性","日本応用数理学会2018年研究部会連合発表会","大阪","JP","March","15-16","15","0","0","2018","佐藤 峻","1",佐藤 峻,,,
